Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WordpressAddPost,Chrome 64.0.3282.186,,2018-03-05 12:01:09,2018-03-05 12:01:35,26.358s,PASSED
,,,,,,
Test Cases/Wordpress add post,Chrome 64.0.3282.186,,2018-03-05 12:01:09,2018-03-05 12:01:35,25.591s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-05 12:01:10,2018-03-05 12:01:13,3.401s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-05 12:01:13,2018-03-05 12:01:15,1.785s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-05 12:01:15,2018-03-05 12:01:16,1.195s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-05 12:01:16,2018-03-05 12:01:16,0.208s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-05 12:01:16,2018-03-05 12:01:16,0.139s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 12:01:16,2018-03-05 12:01:19,2.560s,PASSED
mouseOver,Chrome 64.0.3282.186,,2018-03-05 12:01:19,2018-03-05 12:01:19,0.073s,PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-05 12:01:19,2018-03-05 12:01:19,0.107s,PASSED
mouseOver,Chrome 64.0.3282.186,,2018-03-05 12:01:19,2018-03-05 12:01:19,0.065s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 12:01:19,2018-03-05 12:01:20,0.883s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 12:01:20,2018-03-05 12:01:20,0.002s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-05 12:01:20,2018-03-05 12:01:21,0.814s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 12:01:21,2018-03-05 12:01:25,4.520s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-05 12:01:25,2018-03-05 12:01:26,0.451s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-05 12:01:26,2018-03-05 12:01:26,0.575s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-05 12:01:26,2018-03-05 12:01:30,3.024s,PASSED
click,Chrome 64.0.3282.186,,2018-03-05 12:01:30,2018-03-05 12:01:33,3.410s,PASSED
waitForElementPresent,Chrome 64.0.3282.186,,2018-03-05 12:01:33,2018-03-05 12:01:33,0.000s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-05 12:01:33,2018-03-05 12:01:34,1.062s,PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-05 12:01:34,2018-03-05 12:01:34,0.040s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-05 12:01:34,2018-03-05 12:01:35,0.839s,PASSED
